,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2142,0,0,0,1,21,1,0,0,2,0,2,0,0,2,1,0,3,64.85,610,0
1623,0,0,0,0,54,1,2,1,0,2,0,0,2,2,2,1,0,97.2,4319,0
6074,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,2,23.45,1940,1
1362,1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.2,2012,1
6754,1,0,0,1,0,1,2,0,2,2,0,2,0,0,2,1,0,61.9,0,0
1212,1,0,0,0,7,1,0,1,0,0,0,0,0,0,0,1,2,69.55,4365,0
2722,1,0,1,1,32,1,0,2,1,1,1,1,1,1,2,0,3,18.95,5004,0
4006,1,0,1,1,72,1,0,2,1,1,1,1,1,1,2,1,1,19.8,761,0
6791,1,0,0,0,19,0,1,0,0,0,2,0,2,0,0,1,2,39.65,5683,1
5466,1,0,0,1,10,1,0,2,1,1,1,1,1,1,1,1,0,19.95,1808,0
5852,1,1,1,0,21,1,0,1,0,0,0,0,0,0,0,1,2,69.1,873,1
4195,0,1,0,0,45,1,2,0,2,0,0,2,0,2,0,1,2,70.05,2661,0
4166,1,1,0,0,32,1,0,2,1,1,1,1,1,1,1,0,1,19.8,4824,0
5234,0,0,1,0,40,1,2,1,2,0,2,0,2,2,1,0,0,105.75,3609,0
3414,0,0,0,0,47,0,1,0,2,0,2,2,0,0,2,0,3,41.9,1450,0
1803,0,0,0,0,36,0,1,0,2,2,2,2,0,2,2,1,3,53.1,1501,0
6203,0,0,1,1,69,1,2,1,2,2,2,2,2,0,1,1,1,105.1,5636,0
5285,0,0,1,0,71,1,0,0,0,2,2,2,2,2,2,1,1,80.7,4707,0
1323,0,0,1,0,71,1,2,2,1,1,1,1,1,1,2,1,0,24.65,1210,0
5666,1,0,1,0,35,0,1,0,2,0,2,0,2,2,1,0,1,53.15,1532,0
1941,1,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,3,54.65,1467,0
6601,1,1,1,0,72,1,2,1,0,2,2,2,2,2,2,0,1,109.7,5960,0
1902,1,0,1,1,72,1,2,0,2,2,2,2,2,2,2,1,1,90.6,5182,0
3704,0,0,1,1,68,1,2,0,2,2,2,0,2,0,1,1,1,73.0,4336,0
387,0,0,0,0,42,0,1,0,2,2,2,2,0,2,1,1,2,54.75,1984,0
5550,1,1,0,0,21,1,0,2,1,1,1,1,1,1,1,0,0,20.5,3649,0
1032,0,1,0,0,8,1,0,1,0,0,2,0,2,2,0,1,2,92.1,5658,1
4523,1,1,1,0,10,1,0,1,2,0,0,0,0,0,0,0,2,75.3,5626,0
6582,0,0,0,0,71,1,2,1,2,2,2,0,2,2,2,1,1,106.75,5655,0
5587,0,1,0,0,46,1,0,1,0,2,2,0,2,0,1,1,0,91.3,3520,0
3306,0,0,1,1,3,1,0,1,0,2,0,2,0,0,0,1,2,80.0,2055,0
6625,0,1,0,0,12,1,2,1,0,2,0,0,2,0,0,1,2,91.3,188,1
3316,0,0,1,0,26,0,1,0,2,2,2,0,2,0,1,0,0,47.85,355,0
